Occupancy,FIRM,Total loss ratio (%),Foundation (%),Below First Floor (%),Structure Framing (%),Roof Covering (%),Roof Framing (%),Exterior Walls (%),Interiors (%)
EDU1,1,100,3.05,0,3.41,3.75,5.83,7.67,76.25
EDU2,0,0,0,0,0,0,0,0,0
EDU2,0,10,0,0,0,1.18,0.28,0.53,8.01
EDU2,0,20,0,0,0,1.4,0.49,0.84,17.26
EDU2,0,30,0,0,0,1.6,0.66,1.26,26.48
EDU2,0,40,0,0,0,1.78,0.78,1.74,35.7
EDU2,0,50,0,0,0,1.86,0.93,2.19,45.02
EDU2,0,60,0,0,0,1.99,1.12,2.69,54.2
EDU2,0,70,0,0,0.01,2.12,1.41,3.6,62.86
EDU2,0,80,0.15,0,0.45,2.29,1.94,4.76,70.42
EDU2,0,90,1.04,0,2.34,2.35,2.31,5.58,76.38
EDU2,0,100,1.15,0,2.6,2.5,2.57,6.21,84.96
EDU2,1,0,0,0,0,0,0,0,0
EDU2,1,10,0,0,0,1.23,0.29,0.48,8
EDU2,1,20,0,0,0,1.46,0.51,0.77,17.25
EDU2,1,30,0,0,0,1.67,0.69,1.16,26.49
EDU2,1,40,0,0,0,1.86,0.82,1.59,35.73
EDU2,1,50,0,0,0,1.94,0.98,2,45.08
EDU2,1,60,0,0,0,2.08,1.17,2.46,54.29
EDU2,1,70,0.01,0,0.01,2.21,1.48,3.29,63
EDU2,1,80,0.34,0,0.42,2.39,2.02,4.35,70.47
EDU2,1,90,2.41,0,2.17,2.42,2.39,5.04,75.57
EDU2,1,100,2.68,0,2.42,2.5,2.66,5.61,84.13
GOV1,0,0,0,0,0,0,0,0,0
GOV1,0,10,0,0,0,3.2,0.33,0.48,5.99
GOV1,0,20,0,0,0,4.25,0.66,0.84,14.25
GOV1,0,30,0,0,0,5.04,0.93,1.32,22.7
GOV1,0,40,0,0,0,5.74,1.14,1.87,31.25
GOV1,0,50,0,0,0,6.11,1.39,2.4,40.11
GOV1,0,60,0,0,0,6.59,1.68,2.98,48.75
GOV1,0,70,0.01,0,0.02,7.05,2.12,3.99,56.82
GOV1,0,80,0.37,0,0.57,7.5,2.9,5.23,63.43
GOV1,0,90,2.95,0,3.2,7.5,3.38,6.02,66.95
GOV1,0,100,3.55,0,3.85,7.5,4.07,7.24,73.75
GOV1,1,0,0,0,0,0,0,0,0
GOV1,1,10,0,0,0,3.32,0.35,0.43,5.9
GOV1,1,20,0,0,0,4.43,0.69,0.77,14.11
GOV1,1,30,0,0,0,5.28,0.98,1.21,22.54
GOV1,1,40,0,0,0,6.02,1.19,1.71,31.08
GOV1,1,50,0,0,0,6.41,1.45,2.2,39.94
GOV1,1,60,0,0,0,6.92,1.76,2.73,48.58
GOV1,1,70,0.01,0,0.02,7.4,2.23,3.67,56.67
GOV1,1,80,0.58,0,0.55,7.5,3.05,4.83,63.49
GOV1,1,90,4.59,0,3.04,7.5,3.51,5.46,65.9
GOV1,1,100,6.21,0,4.11,7.5,4.75,7.39,70
GOV2,0,0,0,0,0,0,0,0,0
GOV2,0,10,0,0,0,1.28,0.2,0.86,7.65
GOV2,0,20,0,0,0,1.55,0.36,1.4,16.69
GOV2,0,30,0,0,0,1.77,0.49,2.11,25.62
GOV2,0,40,0,0,0,1.97,0.59,2.91,34.53
GOV2,0,50,0,0,0,2.06,0.7,3.66,43.57
GOV2,0,60,0,0,0,2.21,0.84,4.51,52.45
GOV2,0,70,0,0,0.02,2.34,1.06,6,60.59
GOV2,0,80,0.23,0,0.73,2.5,1.43,7.82,67.29
GOV2,0,90,1.72,0,3.86,2.5,1.67,8.98,71.28
GOV2,0,100,1.98,0,4.45,2.5,1.92,10.35,78.75
GOV2,1,0,0,0,0,0,0,0,0
GOV2,1,10,0,0,0,1.34,0.21,0.83,7.62
GOV2,1,20,0,0,0,1.63,0.38,1.34,16.65
GOV2,1,30,0,0,0,1.86,0.52,2.03,25.59
GOV2,1,40,0,0,0,2.07,0.61,2.8,34.51
GOV2,1,50,0,0,0,2.17,0.74,3.53,43.57
GOV2,1,60,0,0,0,2.32,0.88,4.34,52.46
GOV2,1,70,0.01,0,0.02,2.46,1.11,5.77,60.63
GOV2,1,80,0.44,0,0.72,2.5,1.5,7.53,67.31
GOV2,1,90,3.26,0,3.73,2.5,1.72,8.52,70.27
GOV2,1,100,4.25,0,4.86,2.5,2.25,11.1,75
IND1,0,0,0,0,0,0,0,0,0
IND1,0,10,0,0,0,3.08,0.18,0.57,6.17
IND1,0,20,0,0,0,3.98,0.34,0.95,14.73
IND1,0,30,0,0,0,4.6,0.47,1.46,23.48
IND1,0,40,0,0,0,5.3,0.55,1.99,32.16
IND1,0,50,0,0,0,5.51,0.62,2.6,41.26
