,BldgID,Address,City,State,Latitude,Longitude,OccupancyClass,BuildingType,UseCode,BldgClass,DesignLevel,YearBuiltNJDEP,YearBuiltMODIV,NumberofStories0,NumberofStories1,NoUnits,PlanArea0,PlanArea1,FoundationType,SplitLevel,ElevationR0,ElevationR1,FirstFloorHt0,FirstFloorHt1,FloodZone,DSWI,DSWII,DSWIII,DSWIV,WindZone,AvgJanTemp,RoofShape,RoofSlope,RoofCover,RoofSystem,MeanRoofHt,WindowArea,Garage,HazusClassW,HazusClassIN,HazusClassWA,AnalysisDefault,AnalysisAdopted,Modifications,z0,structureType,replacementCost,yearBuilt,stories,area,occupancy
56,NJBF000067020,40 N TRENTON AVE,Atlantic City,NJ,39.3517208,-74.45687416,RES3A,3001,,17,NE,1900,1900,3301,1,1,1502.257554,1502.257554,3505,NO,14.48,20.4,3,-1.63,6106,114.135414,123.816269,133.571397,139.995882,I,Above,Hip,0,5701,Wood,17.43988439,0,0,,,,1,1,,0.03,nav,1,1900,1,,
57,NJBF000072548,1403 N OHIO AVE,Atlantic City,NJ,39.37405039,-74.44517568,RES1,3001,,17,NE,1925,1925,3102,2,1,910.6234253,910.6234253,3505,NO,42.94,57.14,3,5.66,6106,114.12255,123.79026,133.559134,139.849008,I,Above,Gable,0,5701,Wood,50.03924291,0,0,,,,1,1,,0.03,nav,1,1925,2,,
58,NJBF000065663,19 S DELANCY PL,Atlantic City,NJ,39.34775779,-74.46138687,RES3A,3001,,17,NE,1900,1900,3301,2,1,1446.51815,1446.51815,3505,NO,38.96,50.17,3,1.52,6106,114.087156,123.777841,133.526535,139.984517,I,Above,Gable,0,5701,Wood,44.5618683,0,0,,,,1,1,,0.03,nav,1,1900,2,,
59,NJBF000071438,410 DELTA AVE,Atlantic City,NJ,39.370623,-74.4251975,RES1,3001,,33,NE,1900,1900,3102,2,1,2242.951543,2242.951543,3505,YES,28.51,37.65,3,-2.69,6106,114.591502,124.191385,133.997612,140.219808,I,Above,Gable,0,5701,Wood,33.08141311,0,0,,,,1,1,,0.03,nav,1,1900,2,,
60,NJBF000069266,2 SIRACUSA TERR,Atlantic City,NJ,39.35945338,-74.44111612,COM1,3003,,45,ME,1900,1915,3401,2,3,28441.26195,28441.26195,3507,YES,34.48,44.94,1,1.89,6106,114.382321,124.01873,133.798218,140.129616,I,Above,Flat,0,NaN,Wood,39.70936894,0,0,,,,1,1,,0.03,nav,1,1900,2,,
61,NJBF000070550,2019 GRANT AVE,Atlantic City,NJ,39.36754787,-74.44211737,RES3B,3001,,33,ME,1900,1900,3301,2,1,3166.523164,3166.523164,3505,YES,20.87,26.77,3,-2.28,6106,114.263786,123.914689,133.690975,139.995288,I,Above,Flat,0,5701,Wood,23.82256008,0,0,,,,1,1,,0.03,nav,1,1900,2,,
62,NJBF000070486,1311 DREXEL AVE,Atlantic City,NJ,39.36734134,-74.43060293,RES3C,3003,,33,E,1910,1900,3305,2,1,3346.301672,3346.301672,3507,YES,24.91,31.98,1,0.48,6106,114.514269,124.126884,133.923701,140.181275,I,Above,Flat,0,NaN,Wood,28.44575062,0,0,,,,2,2,,0.03,nav,1,1910,2,,
63,NJBF000070614,908 KEENER AVE,Atlantic City,NJ,39.36778733,-74.44218013,RES3B,3001,,33,ME,1900,1900,3301,2,1,3870.477788,3870.477788,3505,YES,26.49,34.56,3,-1.63,6106,114.259619,123.911014,133.687128,139.990752,I,Above,Flat,0,5701,Wood,30.52195154,0,0,,,,1,1,,0.03,nav,1,1900,2,,
64,NJBF000067459,5 N SOVEREIGN AVE,Atlantic City,NJ,39.35355658,-74.45063378,RES3B,3001,29,NaN,ME,1969,0,3301,2,1,874.430821,874.430821,3504,YES,35.28,41.99,-4,0,6106,114.248491,123.90921,133.673715,140.066803,I,Above,Gable,0,NaN,Wood,38.63718544,0,0,,,,1,1,,0.03,nav,1,1969,2,,
65,NJBF000065893,21 S LACLEDE PL,Atlantic City,NJ,39.34837553,-74.46005095,RES3A,3001,,18,NE,1920,1920,3301,2,1,2275.432851,2275.432851,3505,NO,25.29,36.99,3,0.19,6106,114.108474,123.795185,133.545773,139.996246,I,Above,Hip,0,5701,Wood,31.13917414,0,0,,,,1,1,,0.03,nav,1,1920,2,,
