ID,TestbedID,RoofShape,FloodZone,Area,Longitude,Latitude,Terrain,DSWII,BuildingType,AvgJanTemp,Garage,NumberOfStories,YearBuilt,RoofSlope,MeanRoofHt,geometry,OccupancyClass,FEMAID
260,392,Gable,X,92.87735033,-93.284294,30.164668,11,132.3090556,Wood,Above,0,1,1998,0.02724854,12.49542801,"POLYGON ((-93.28433 30.164623, -93.28425799999999 30.164623, -93.28425799999999 30.164713, -93.28433 30.164713, -93.28433 30.164623))",RES3,79479
261,13323,Hip,X,445.6256748,-93.29234641,30.16799821,11,132.2129599,Wood,Above,0,1,1999,0.191136457,15.74,"POLYGON ((-93.292248 30.168073, -93.292481 30.168073, -93.292481 30.168015, -93.292417 30.168015, -93.292417 30.167911, -93.292248 30.167911, -93.292248 30.168073))",RES1,79491
262,21660,Gable,X,138.1598847,-93.2960315,30.1681115,42,132.2156888,Wood,Above,0,1,1996,0.32,17.16,"POLYGON ((-93.29595500000001 30.168143, -93.296108 30.168143, -93.296108 30.16808, -93.29595500000001 30.16808, -93.29595500000001 30.168143))",RES1,79492
263,23364,Gable,X,612.5049449,-93.29377439,30.17186992,11,132.0872031,Wood,Above,2.1,1,1999,0.2,15.97,"POLYGON ((-93.293688 30.172033, -93.29382099999999 30.172034, -93.293823 30.171776, -93.293896 30.171777, -93.293897 30.171698, -93.293772 30.171697, -93.293772 30.171792, -93.29369 30.171792, -93.293688 30.172033))",RES1,79494
264,5765,Gable,X,112.5012057,-93.29380932,30.16649235,42,132.2653597,Wood,Above,0,1,1998,0,12,"POLYGON ((-93.293769 30.166541, -93.29385000000001 30.166541, -93.29384899999999 30.166443, -93.293769 30.166444, -93.293769 30.166541))",RES3,79501
265,4128,Gable,X,1333.612524,-93.29373022,30.14918878,21,132.8357247,Wood,Above,0,1,1993,0.296289057,17.38707376,"POLYGON ((-93.293784 30.148998, -93.29347 30.149108, -93.29353 30.149235, -93.293654 30.149191, -93.29374900000001 30.149393, -93.293969 30.149316, -93.293938 30.149251, -93.293907 30.149262, -93.293784 30.148998))",RES3,77242
266,11045,Gable,X,189.1901658,-93.283457,30.162356,11,132.3839258,Wood,Above,0,1,1997,0,15.51,"POLYGON ((-93.283407 30.162422, -93.283507 30.162422, -93.283507 30.16229, -93.283407 30.16229, -93.283407 30.162422))",RES1,79579
267,14158,Gable,X,211.815135,-93.28472078,30.16281138,11,132.3710926,Wood,Above,0,1,1997,0.253426076,15.12597312,"POLYGON ((-93.284659 30.16285, -93.284705 30.16285, -93.284705 30.162892, -93.284772 30.162892, -93.284774 30.162745, -93.284661 30.162744, -93.284659 30.16285))",RES1,79590
268,991,Gable,X,179.9824313,-93.287141,30.174653,51,131.9834831,Wood,Above,0,1,1994,0.134563813,26.44661479,"POLYGON ((-93.287184 30.17458, -93.287098 30.17458, -93.287098 30.174726, -93.287184 30.174726, -93.287184 30.17458))",RES3,79598
269,24551,Hip,X,222.7886317,-93.28328,30.16363,11,132.3415753,Wood,Above,2.1,2,1999,0.6,33.77,"POLYGON ((-93.283338 30.163697, -93.283338 30.163563, -93.28322199999999 30.163563, -93.28322199999999 30.163697, -93.283338 30.163697))",RES1,79622
270,26270,Gable,X,216.3012756,-93.29142647,30.17261841,11,132.0583092,Wood,Above,0,1,1997,0,13.88,"POLYGON ((-93.29136 30.17261, -93.291377 30.172611, -93.291375 30.172688, -93.291477 30.17269, -93.291479 30.172604, -93.29149200000001 30.172605, -93.291493 30.172557, -93.29136200000001 30.172555, -93.29136 30.17261))",COM1,79627
271,11627,Hip,X,244.4164998,-93.2897845,30.169295,11,132.1655676,Wood,Above,2.1,1,1995,0,13.03,"POLYGON ((-93.289711 30.169353, -93.289858 30.169353, -93.289858 30.169237, -93.289711 30.169237, -93.289711 30.169353))",RES1,79662
272,20229,Gable,X,206.4065664,-93.290239,30.170616,11,132.1226107,Wood,Above,2.1,1,1997,0.33,17.98,"POLYGON ((-93.29019099999999 30.170541, -93.29019099999999 30.170691, -93.29028700000001 30.170691, -93.29028700000001 30.170541, -93.29019099999999 30.170541))",RES1,79664
273,9262,Gable,X,744.367239,-93.29432296,30.16956463,11,132.1645569,Wood,Above,2.1,1,1996,0.021001704,15.15,"POLYGON ((-93.294287 30.169411, -93.294287 30.169488, -93.294231 30.169488, -93.294231 30.169569, -93.29428799999999 30.169569, -93.29428799999999 30.169646, -93.29414 30.169646, -93.294141 30.169716, -93.294291 30.169715, -93.294291 30.169662, -93.294436 30.169661, -93.294434 30.169411, -93.294287 30.169411))",COM1,79666
274,5214,Gable,X,383.4443727,-93.29028571,30.16907592,11,132.1736908,Wood,Above,0,1,1998,0.146662478,26.66659051,"POLYGON ((-93.290239 30.169167, -93.29037099999999 30.169165, -93.290367 30.168999, -93.290178 30.169002, -93.29018000000001 30.169087, -93.290238 30.169087, -93.290239 30.169167))",RES1,79679
275,17939,Gable,X,422.9589222,-93.29233598,30.16501507,11,132.3116208,Wood,Above,0,1,1998,0.13,11.31,"POLYGON ((-93.29245899999999 30.164942, -93.29228500000001 30.164945, -93.292286 30.165003, -93.29218 30.165005, -93.292182 30.16508, -93.292283 30.165078, -93.292282 30.165069, -93.292462 30.165066, -93.29245899999999 30.164942))",RES1,76737
276,28902,Hip,X,487.2597827,-93.28547991,30.16274951,11,132.374455,Wood,Above,2.1,1,1996,0.067184305,13.22153282,"POLYGON ((-93.28537900000001 30.162657, -93.285377 30.162838, -93.285509 30.162839, -93.285509 30.162799, -93.285618 30.1628, -93.285618 30.162705, -93.285507 30.162704, -93.28550799999999 30.162658, -93.28537900000001 30.162657))",RES1,76720
