,OBJECTID,DMG_LEVEL,DMG_TYPE,ASMT_TYPE,IN_DEPTH,WIND_SPEED,PGA,ACCESS,COUNTY,STATE,FIPS,PROD_DATE,IMG_DATE,EVENT_NAME,EVENT_DATE,SOURCE,DIS_NUMBER,COMMENTS,LONGITUDE,LATITUDE,USNG
78446,896715,NOD,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2890244,30.1706467,
78481,896750,NOD,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.295166,30.165081,
79045,897314,NOD,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2925262,30.1687717,
79679,897948,AFF,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2902679,30.1690617,
79214,897483,NOD,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2942429,30.1710644,
80254,898523,MIN,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2801971,30.1700001,
80160,898429,AFF,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2860107,30.1510105,
79785,898054,AFF,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2835007,30.162899,
78676,896945,NOD,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.292717,30.167778,
79989,898258,AFF,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2940598,30.1730022,
79735,898004,AFF,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2902451,30.1708241,
77168,895437,NOD,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2939224,30.1708374,
80094,898363,AFF,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2923203,30.1485577,
80067,898336,AFF,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.3065338,30.1466522,
80175,898444,AFF,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2912216,30.1723213,
