sta lon lat
1729.csv -74.4857 39.3863
1730.csv -74.4857 39.3895
1731.csv -74.4857 39.3927
1732.csv -74.4857 39.3959
1733.csv -74.4857 39.3991
1734.csv -74.4857 39.4023
1735.csv -74.4857 39.4054
1736.csv -74.4857 39.4086
1737.csv -74.4857 39.4118
1738.csv -74.4857 39.415
1739.csv -74.4857 39.4182
1740.csv -74.4857 39.4214
1741.csv -74.4857 39.4245
1742.csv -74.4857 39.4277
1743.csv -74.4857 39.4309
1744.csv -74.4857 39.4341
1745.csv -74.4857 39.4373
1746.csv -74.4857 39.4405
1747.csv -74.4857 39.4436
1748.csv -74.4857 39.4468
1749.csv -74.4857 39.45
1750.csv -74.4857 39.4532
1751.csv -74.4811 39.2972
1752.csv -74.4811 39.3004
1753.csv -74.4811 39.3036
1754.csv -74.4811 39.3068
1755.csv -74.4811 39.3099
1756.csv -74.4811 39.3131
1757.csv -74.4811 39.3163
1758.csv -74.4811 39.3195
1759.csv -74.4811 39.3227
1760.csv -74.4811 39.3259
1761.csv -74.4811 39.329
1762.csv -74.4811 39.3322
1763.csv -74.4811 39.3354
1764.csv -74.4811 39.3386
1765.csv -74.4811 39.3418
1766.csv -74.4811 39.345
1767.csv -74.4811 39.3481
1768.csv -74.4811 39.3513
1769.csv -74.4811 39.3545
1770.csv -74.4811 39.3577
1771.csv -74.4811 39.3609
1772.csv -74.4811 39.3641
1773.csv -74.4811 39.3672
1774.csv -74.4811 39.3704
1775.csv -74.4811 39.3736
1776.csv -74.4811 39.3768
1777.csv -74.4811 39.38
1778.csv -74.4811 39.3832
1779.csv -74.4811 39.3863
1780.csv -74.4811 39.3895
1781.csv -74.4811 39.3927
1782.csv -74.4811 39.3959
1783.csv -74.4811 39.3991
1784.csv -74.4811 39.4023
1785.csv -74.4811 39.4054
1786.csv -74.4811 39.4086
1787.csv -74.4811 39.4118
1788.csv -74.4811 39.415
1789.csv -74.4811 39.4182
1790.csv -74.4811 39.4214
1791.csv -74.4811 39.4245
1792.csv -74.4811 39.4277
1793.csv -74.4811 39.4309
1794.csv -74.4811 39.4341
1795.csv -74.4811 39.4373
1796.csv -74.4811 39.4405
1797.csv -74.4811 39.4436
1798.csv -74.4811 39.4468
1799.csv -74.4811 39.45
1800.csv -74.4811 39.4532
1801.csv -74.4765 39.2972
1802.csv -74.4765 39.3004
1803.csv -74.4765 39.3036
1804.csv -74.4765 39.3068
1805.csv -74.4765 39.3099
1806.csv -74.4765 39.3131
1807.csv -74.4765 39.3163
1808.csv -74.4765 39.3195
1809.csv -74.4765 39.3227
1810.csv -74.4765 39.3259
1811.csv -74.4765 39.329
1812.csv -74.4765 39.3322
1813.csv -74.4765 39.3354
1814.csv -74.4765 39.3386
1815.csv -74.4765 39.3418
1816.csv -74.4765 39.345
1817.csv -74.4765 39.3481
1818.csv -74.4765 39.3513
1819.csv -74.4765 39.3545
1820.csv -74.4765 39.3577
1821.csv -74.4765 39.3609
1822.csv -74.4765 39.3641
1823.csv -74.4765 39.3672
1824.csv -74.4765 39.3704
1825.csv -74.4765 39.3736
1826.csv -74.4765 39.3768
1827.csv -74.4765 39.38
1828.csv -74.4765 39.3832
1829.csv -74.4765 39.3863
1830.csv -74.4765 39.3895
1831.csv -74.4765 39.3927
1832.csv -74.4765 39.3959
1833.csv -74.4765 39.3991
1834.csv -74.4765 39.4023
1835.csv -74.4765 39.4054
1836.csv -74.4765 39.4086
1837.csv -74.4765 39.4118
1838.csv -74.4765 39.415
1839.csv -74.4765 39.4182
1840.csv -74.4765 39.4214
1841.csv -74.4765 39.4245
1842.csv -74.4765 39.4277
1843.csv -74.4765 39.4309
1844.csv -74.4765 39.4341
1845.csv -74.4765 39.4373
1846.csv -74.4765 39.4405
1847.csv -74.4765 39.4436
1848.csv -74.4765 39.4468
1849.csv -74.4765 39.45
1850.csv -74.4765 39.4532
1851.csv -74.4719 39.2972
1852.csv -74.4719 39.3004
1853.csv -74.4719 39.3036
1854.csv -74.4719 39.3068
1855.csv -74.4719 39.3099
1856.csv -74.4719 39.3131
1857.csv -74.4719 39.3163
1858.csv -74.4719 39.3195
1859.csv -74.4719 39.3227
1860.csv -74.4719 39.3259
1861.csv -74.4719 39.329
1862.csv -74.4719 39.3322
1863.csv -74.4719 39.3354
1864.csv -74.4719 39.3386
1865.csv -74.4719 39.3418
1866.csv -74.4719 39.345
1867.csv -74.4719 39.3481
1868.csv -74.4719 39.3513
1869.csv -74.4719 39.3545
1870.csv -74.4719 39.3577
1871.csv -74.4719 39.3609
1872.csv -74.4719 39.3641
1873.csv -74.4719 39.3672
1874.csv -74.4719 39.3704
1875.csv -74.4719 39.3736
1876.csv -74.4719 39.3768
1877.csv -74.4719 39.38
1878.csv -74.4719 39.3832
1879.csv -74.4719 39.3863
1880.csv -74.4719 39.3895
1881.csv -74.4719 39.3927
1882.csv -74.4719 39.3959
1883.csv -74.4719 39.3991
1884.csv -74.4719 39.4023
